network,augment,GlobalPool,units_1,batch_norm,dropout,optim,lr,score,fc1
Resnet,soft,False,64,False,0.0,sgd,0.008033426206241001,0.48380953073501504,True
Resnet,soft,True,1024,True,0.1,adam,0.0015921417834840002,0.720000028610229,True
Resnet,soft,True,832,False,0.0,adam,0.0030542764550830002,0.7219047546386711,True
Resnet,soft,False,384,True,0.4,sgd,0.004516568787507,0.67428570985794,False
Resnet,medium,True,128,True,0.1,adam,0.004209774577904,0.607619047164917,True
Resnet,medium,True,192,False,0.30000000000000004,adam,0.005104310542030001,0.569523811340332,True
Resnet,soft,False,768,False,0.30000000000000004,sgd,0.006169984916805001,0.52571427822113,True
Resnet,medium,False,192,False,0.0,sgd,0.00357442354247,0.5714285969734191,True
Resnet,hard,False,512,True,0.2,sgd,0.006126500009229,0.539047598838806,False
Resnet,hard,False,256,True,0.4,adam,0.001914214456273,0.537142872810363,False
Resnet,soft,False,896,False,0.1,sgd,0.0031536469357180004,0.6723809242248531,False
Resnet,hard,False,832,True,0.1,sgd,0.0026347261481460002,0.556190490722656,False
Resnet,medium,False,576,False,0.0,adam,0.005020275237701001,0.5809524059295651,True
Resnet,medium,False,640,False,0.0,adam,0.003238996060462,0.582857131958007,False
Resnet,hard,True,576,True,0.1,sgd,0.007996140412004001,0.533333361148834,False
